dataset,recording,location,id,width,TPlat,PAassym,fr,frLog,ratio10ms,ratio10msLog,amp,PTratio,RepSlope,RecSlope,Duration,BurstRatio,BurstRatioLog,DistFromGCtop,DistFromGCbot,ClusterDG,DistanceDG,ClusterCA13,DistanceCA13
1,2,CA1,279,0.35,0.4,0.48094845,1.10040628,0.04155306,0.48061538,-0.31820233,0.21010123,0.55341536,0.02423782,-0.00476038,0.73333333,36.47450111,1.56198936,-70,106,,0,2,5.71793888004685
1,2,CA1,281,0.20333333,0.23333333,1.03020287,3.75900241,0.5750726,0.00713012,-2.14690287,0.40399235,0.71492404,0.07314382,-0.00943562,0.4,0.10761946,-0.9681092,-80,116,,0,3,6.53776581327388
1,2,CA1,287,0.32333333,0.43333333,1.05772126,2.45112518,0.38936549,0,,0.17888057,0.98103189,0.01564467,-0.00288386,0.76666667,,,-87,123,,0,,0
1,2,CA1,288,0.24333333,0.5,0.8536154,35.79140293,1.55377872,0.10106393,-0.99540382,0.35529175,0.36519113,0.0489935,-0.00491475,0.7,0.01517711,-1.818811,-94,130,,0,1,4.19415590724032
1,2,CA1,289,0.13333333,0.23333333,0.5335921,2.93383389,0.46743552,0.09810711,-1.00829952,0.74980283,0.40060613,0.14967209,-0.01269412,0.36666667,2.05509401,0.31283169,-97,133,,0,3,13.2262965984657
1,2,CA1,372,0.27,,,9.63561157,0.98387928,0.01519395,-1.81832929,,,,,,0.06968058,-1.15688822,-98,134,,0,,0
1,2,molDG,246,0.35,0.46666667,0.98696905,2.43535958,0.38656309,0,,0.20955241,0.94789869,0.01635382,-0.0033845,0.96666667,,,-25,61,,0,,0
1,2,molDG,247,0.33,0.4,0.98685884,2.44684994,0.38860734,0,,0.20711878,0.81984538,0.0154924,-0.00291169,0.9,,,-25,61,,0,,0
1,2,molDG,248,0.13333333,0.3,-0.06936208,2.43535958,0.38656309,0.00473934,-2.32428246,0.22637415,0.26979685,0.03993484,-0.00319298,0.43333333,,,-25,61,,0,,0
1,2,molDG,250,0.21333333,0.5,0.73064685,2.22858804,0.34802979,0,,0.17404881,0.28873786,0.02183405,-0.00213059,0.66666667,,,-39,75,,0,,0
1,2,molDG,251,0.25666667,0.53333333,0.92602617,13.14894617,1.11889095,0.03966704,-1.40157017,0.17403314,0.32036388,0.01895639,-0.00225037,0.73333333,0.09711769,-1.01270167,-39,75,4,2.99211151587193,,0
1,2,DG,208,0.22333333,0.36666667,0.94302809,2.64213236,0.42195457,0.08733624,-1.05880549,0.24453923,0.50285405,0.04583375,-0.00395214,0.7,,,33,3,,0,,0
1,2,DG,209,0.33666667,0.46666667,0.96733212,1.65178682,0.217954,0.00302419,-2.51939042,0.36498708,0.49372303,0.07203605,-0.00279316,0.83333333,0.12494794,-0.90327091,32,4,4,6.14058984154233,,0
1,2,DG,210,0.1,0.16666667,0.12183172,13.37024013,1.12613921,0.15340202,-0.81416892,0.50821018,0.73857176,0.11358329,-0.01790118,0.23333333,0.30998909,-0.50865359,30,6,2,10.4049708384522,,0
1,2,DG,211,0.17666667,0.3,0.36611694,1.42638722,0.15423744,0.17428571,-0.75873821,0.39106074,0.12946972,0.07245765,0.00056399,0.43333333,11.7151608,1.06874825,30,6,3,9.44258586773087,,0
